Potential (V),Current (A),
0.742842343,8.45E-06,
0.731800915,8.11E-06,
0.721066193,8.76E-06,
0.710331471,8.68E-06,
0.698983336,7.65E-06,
0.687328496,7.18E-06,
0.677207186,7.66E-06,
0.665859052,7.52E-06,
0.654817623,6.40E-06,
0.643776195,5.56E-06,
0.633041473,5.53E-06,
0.621693339,4.73E-06,
0.610651911,2.41E-06,
0.599610482,1.14E-06,
0.58887576,-5.48E-07,
0.578141038,-7.00E-07,
0.566792904,-8.50E-06,
0.555444769,-1.31E-05,
0.544403341,-1.99E-05,
0.533668619,-2.84E-05,
0.522933897,-3.78E-05,
0.511585763,-4.83E-05,
0.500851041,-5.94E-05,
0.489809612,-6.97E-05,
0.478461478,-7.93E-05,
0.467726756,-8.69E-05,
0.456992034,-9.21E-05,
0.445950606,-9.47E-05,
0.434295765,-9.50E-05,
0.423561043,-9.35E-05,
0.413133027,-9.04E-05,
0.402091599,-8.64E-05,
0.390436758,-8.15E-05,
0.380008743,-7.69E-05,
0.368047195,-7.24E-05,
0.358232593,-6.86E-05,
0.346577752,-6.52E-05,
0.336456442,-6.28E-05,
0.325108308,-6.03E-05,
0.313146761,-5.80E-05,
0.302718745,-5.62E-05,
0.291677317,-5.46E-05,
0.280635889,-5.28E-05,
0.26959446,-5.11E-05,
0.259166445,-5.01E-05,
0.248125016,-4.90E-05,
0.237083588,-4.75E-05,
0.22604216,-4.67E-05,
0.215307438,-4.57E-05,
0.203652597,-4.45E-05,
0.192917875,-4.39E-05,
0.181876447,-4.31E-05,
0.170835019,-4.24E-05,
0.159486884,-4.16E-05,
0.148445456,-4.11E-05,
0.137710734,-4.00E-05,
0.126669306,-3.98E-05,
0.115627878,-3.91E-05,
0.104893156,-3.88E-05,
0.093851727,-3.80E-05,
0.082810299,-3.78E-05,
0.071768871,-3.69E-05,
0.061340855,-3.67E-05,
0.049992721,-3.64E-05,
0.039257999,-3.60E-05,
0.027603158,-3.58E-05,
0.017175142,-3.54E-05,
0.005520301,-3.48E-05,
-0.005827833,-3.48E-05,
-0.016562555,-3.49E-05,
-0.026990571,-3.46E-05,
-0.038338705,-3.43E-05,
-0.049073427,-3.43E-05,
-0.060114855,-3.47E-05,
-0.071156284,-3.49E-05,
-0.082197712,-3.61E-05,
-0.093545846,-3.60E-05,
-0.095386084,-3.53E-05,
-0.083731244,-3.41E-05,
-0.073303228,-3.31E-05,
-0.061955093,-3.22E-05,
-0.051220371,-3.13E-05,
-0.040178943,-3.07E-05,
-0.029137515,-3.00E-05,
-0.018402793,-2.96E-05,
-0.007361365,-2.91E-05,
0.004293476,-2.87E-05,
0.014721492,-2.83E-05,
0.02576292,-2.80E-05,
0.036804348,-2.76E-05,
0.047845776,-2.74E-05,
0.058887205,-2.70E-05,
0.069928633,-2.66E-05,
0.080356648,-2.64E-05,
0.091704783,-2.61E-05,
0.102746211,-2.58E-05,
0.11378764,-2.54E-05,
0.124829068,-2.52E-05,
0.135870496,-2.48E-05,
0.146605218,-2.49E-05,
0.157953352,-2.48E-05,
0.168994781,-2.46E-05,
0.179729503,-2.43E-05,
0.190770931,-2.39E-05,
0.202119065,-2.37E-05,
0.212547081,-2.37E-05,
0.224201922,-2.37E-05,
0.23524335,-2.35E-05,
0.246284778,-2.29E-05,
0.256712794,-2.26E-05,
0.267754222,-2.29E-05,
0.27879565,-2.26E-05,
0.289530372,-2.21E-05,
0.300571801,-2.21E-05,
0.311919935,-2.19E-05,
0.32326807,-2.14E-05,
0.333696085,-2.08E-05,
0.344737514,-2.06E-05,
0.355472236,-1.99E-05,
0.366513664,-1.92E-05,
0.377555092,-1.81E-05,
0.38859652,-1.70E-05,
0.399944655,-1.48E-05,
0.411292789,-1.17E-05,
0.421414099,-9.62E-06,
0.432455527,-4.80E-06,
0.443496955,2.62E-07,
0.45484509,9.19E-06,
0.465579812,1.76E-05,
0.476314534,2.78E-05,
0.487355962,3.92E-05,
0.49839739,5.07E-05,
0.509438818,6.16E-05,
0.520786953,7.09E-05,
0.531828381,7.79E-05,
0.542563103,8.18E-05,
0.553911238,8.29E-05,
0.565259372,8.17E-05,
0.575994094,7.88E-05,
0.587035522,7.49E-05,
0.597770244,7.04E-05,
0.609118379,6.62E-05,
0.619853101,6.22E-05,
0.630894529,5.84E-05,
0.641629251,5.47E-05,
0.652670679,5.16E-05,
0.664018814,4.91E-05,
0.674446829,4.68E-05,
0.685488257,4.45E-05,
0.697143098,4.29E-05,
0.707571114,4.11E-05,
0.718919249,3.92E-05,
0.72965397,3.79E-05,
0.740388692,3.63E-05,
0.752043533,3.54E-05,
0.762471549,3.37E-05,
0.773206271,3.28E-05,
0.784861112,3.11E-05,
0.79590254,2.96E-05,
0.806637262,2.86E-05,
0.81767869,2.74E-05,
0.829026825,2.64E-05,
0.83945484,2.60E-05,
0.850496268,2.52E-05,
0.861844403,2.42E-05,
0.873192538,2.38E-05,
0.88392726,2.35E-05,
0.894661981,2.31E-05,
0.90570341,2.26E-05,
0.917051544,2.21E-05,
0.927786266,2.15E-05,
0.938520988,2.12E-05,
0.949869123,2.09E-05,
0.960910551,2.07E-05,
0.971645273,2.03E-05,
0.982686701,2.02E-05,
0.993421423,1.97E-05,
0.994954955,1.77E-05,
0.984526939,1.65E-05,
0.973178805,1.56E-05,
0.96183067,1.51E-05,
0.950789242,1.45E-05,
0.94005452,1.33E-05,
0.928706385,1.26E-05,
0.917971663,1.22E-05,
0.906930235,1.16E-05,
0.8955821,1.13E-05,
0.885154085,1.12E-05,
0.873499244,1.11E-05,
0.862457816,1.09E-05,
0.852336507,1.12E-05,
0.840681666,1.08E-05,
0.829946944,1.06E-05,
0.818598809,1.04E-05,
0.808170794,1.03E-05,
0.797129365,1.01E-05,
0.786087937,9.98E-06,
0.775046509,9.49E-06,
0.764005081,9.24E-06,
0.752656946,8.78E-06,
0.74222893,8.84E-06,
0.730880796,8.72E-06,
0.720146074,8.76E-06,
0.709104646,8.16E-06,
0.697756511,7.78E-06,
0.687328496,8.16E-06,
0.675673655,7.94E-06,
0.665552345,8.02E-06,
0.654204211,7.11E-06,
0.643469489,5.98E-06,
0.632428061,4.91E-06,
0.62077322,4.20E-06,
0.610038498,3.01E-06,
0.599610482,1.79E-06,
0.587955641,-2.01E-07,
0.577527626,-4.96E-07,
0.566179491,-8.84E-06,
0.554831357,-1.42E-05,
0.544096635,-2.02E-05,
0.533361913,-2.85E-05,
0.521707072,-3.82E-05,
0.51097235,-4.89E-05,
0.500237628,-5.99E-05,
0.4891962,-7.05E-05,
0.478154772,-7.97E-05,
0.46742005,-8.70E-05,
0.455765209,-9.20E-05,
0.445337193,-9.41E-05,
0.433989059,-9.34E-05,
0.42294763,-9.09E-05,
0.411906202,-8.79E-05,
0.400864774,-8.41E-05,
0.389823346,-8.01E-05,
0.379088624,-7.57E-05,
0.367740489,-7.20E-05,
0.357005767,-6.84E-05,
0.346271045,-6.51E-05,
0.335229617,-6.24E-05,
0.324188189,-5.96E-05,
0.313453467,-5.73E-05,
0.302412039,-5.55E-05,
0.291063904,-5.37E-05,
0.27971577,-5.22E-05,
0.268981048,-5.09E-05,
0.257939619,-4.97E-05,
0.247204897,-4.83E-05,
0.235856763,-4.73E-05,
0.225122041,-4.62E-05,
0.215000732,-4.53E-05,
0.202732478,-4.42E-05,
0.192304463,-4.33E-05,
0.181569741,-4.23E-05,
0.1699149,-4.17E-05,
0.158873472,-4.14E-05,
0.147525337,-4.06E-05,
0.136790615,-4.02E-05,
0.125749187,-3.95E-05,
0.115014465,-3.90E-05,
0.10366633,-3.82E-05,
0.092931608,-3.76E-05,
0.082196886,-3.71E-05,
0.070848752,-3.69E-05,
0.059807324,-3.62E-05,
0.049072602,-3.58E-05,
0.038644586,-3.55E-05,
0.026989745,-3.52E-05,
0.016255023,-3.50E-05,
0.004906889,-3.48E-05,
-0.005827833,-3.46E-05,
-0.017175968,-3.46E-05,
-0.02791069,-3.45E-05,
-0.038645412,-3.44E-05,
-0.04968684,-3.44E-05,
-0.060728268,-3.43E-05,
-0.071769696,-3.46E-05,
-0.083117831,-3.49E-05,
-0.093852553,-3.55E-05,
-0.094465965,-3.49E-05,
-0.083731244,-3.40E-05,
-0.072076403,-3.31E-05,
-0.061341681,-3.22E-05,
-0.050606959,-3.14E-05,
-0.039258824,-3.05E-05,
-0.028217396,-2.96E-05,
-0.018096087,-2.92E-05,
-0.006441246,-2.87E-05,
0.004600182,-2.85E-05,
0.015948317,-2.80E-05,
0.026989745,-2.75E-05,
0.037111054,-2.69E-05,
0.048459189,-2.68E-05,
0.059500617,-2.68E-05,
0.070235339,-2.65E-05,
0.081583474,-2.60E-05,
0.092624902,-2.55E-05,
0.103973037,-2.54E-05,
0.114401052,-2.53E-05,
0.12544248,-2.50E-05,
0.136483909,-2.47E-05,
0.147832043,-2.43E-05,
0.158260059,-2.40E-05,
0.168994781,-2.40E-05,
0.180649622,-2.38E-05,
0.191384344,-2.37E-05,
0.202732478,-2.36E-05,
0.213160494,-2.35E-05,
0.224508628,-2.32E-05,
0.235550057,-2.30E-05,
0.246284778,-2.28E-05,
0.257632913,-2.27E-05,
0.268674341,-2.23E-05,
0.27971577,-2.21E-05,
0.290450491,-2.17E-05,
0.30149192,-2.14E-05,
0.312533348,-2.11E-05,
0.323574776,-2.08E-05,
0.334309498,-2.07E-05,
0.345657633,-2.03E-05,
0.356699061,-1.97E-05,
0.367740489,-1.88E-05,
0.378781917,-1.75E-05,
0.389516639,-1.61E-05,
0.400251361,-1.44E-05,
0.411292789,-1.26E-05,
0.422334218,-8.03E-06,
0.433375646,-2.79E-06,
0.444417074,9.06E-07,
