Potential (V),Current (A),
-0.15028651934081,-3.63E-05,-36.3262989242389
-0.161634653925383,-3.76E-05,-37.5776607919432
-0.173902907530327,-3.90E-05,-38.9762417029068
-0.185557748455024,-4.04E-05,-40.4177615014878
-0.197826002059968,-4.17E-05,-41.681391622797
-0.210094255664912,-4.31E-05,-43.0799725337606
-0.221442390249485,-4.40E-05,-44.0184939345388
-0.234324056534676,-4.50E-05,-44.957015335317
-0.245672191119249,-4.57E-05,-45.7421835660334
-0.25763373838407,-4.64E-05,-46.3555962462806
-0.269901991989013,-4.69E-05,-46.8708628976883
-0.28155683291371,-4.73E-05,-47.2879835202563
-0.293825086518654,-4.75E-05,-47.5088120851453
-0.306093340123598,-4.77E-05,-47.6744335088121
-0.318054887388418,-4.78E-05,-47.8277866788739
-0.330016434653239,-4.80E-05,-48.0056763561456
-0.341977981918059,-4.80E-05,-47.9995422293431
-0.353326116502632,-4.81E-05,-48.0670176241703
-0.3659010764477,-4.81E-05,-48.0976882581826
-0.378169330052644,-4.82E-05,-48.2203707942321
-0.390130877317464,-4.84E-05,-48.4473334859236
-0.396878416800183,-4.73E-05,-47.2695811398489
-0.384610163195239,-4.52E-05,-45.2023804074159
-0.372648615930419,-4.37E-05,-43.6688487067979
-0.360993775005722,-4.25E-05,-42.4665598535134
-0.349338934081025,-4.14E-05,-41.3624170290684
-0.336763974135958,-4.03E-05,-40.2644083314259
-0.325109133211261,-3.94E-05,-39.3565575646601
-0.313147585946441,-3.84E-05,-38.4119020370794
-0.300879332341497,-3.74E-05,-37.3752346074617
-0.288917785076677,-3.66E-05,-36.5777981231403
-0.276649531471733,-3.56E-05,-35.5779354543374
-0.264687984206912,-3.47E-05,-34.7068894483864
-0.253033143282216,-3.37E-05,-33.6763561455711
-0.240764889677272,-3.27E-05,-32.6519569695582
-0.229110048752575,-3.16E-05,-31.5907530327306
-0.217455207827878,-3.07E-05,-30.6644998855573
-0.204880247882811,-2.95E-05,-29.541954680705
-0.19291870061799,-2.84E-05,-28.3948729686427
-0.180650447013046,-2.73E-05,-27.2600595101854
-0.168688899748226,-2.61E-05,-26.0700389105058
-0.156420646143282,-2.49E-05,-24.9106889448386
-0.145379217898833,-2.37E-05,-23.7206683451591
-0.132804257953765,-2.26E-05,-22.5735866330968
-0.120842710688945,-2.15E-05,-21.5307850766766
-0.108881163424124,-2.05E-05,-20.5186541542687
-0.0972263224994278,-1.96E-05,-19.6108033875029
-0.0846513625543602,-1.88E-05,-18.7765621423667
-0.0729965216296635,-1.79E-05,-17.8503089951934
-0.0607282680247196,-1.70E-05,-17.0406042572671
-0.0490734271000229,-1.63E-05,-16.2922407873655
-0.0364984671549554,-1.54E-05,-15.3537193865873
-0.024536919890135,-1.45E-05,-14.4581368734264
-0.0131887853055619,-1.34E-05,-13.4190157930877
-0.00092053170061799,-1.23E-05,-12.2731609063859
0.0107343092240787,-1.10E-05,-11.0083039597162
0.0230025628290227,-9.75E-06,-9.74896772716869
0.0352708164339666,-8.23E-06,-8.23383840695811
0.0469256573586633,-6.67E-06,-6.66902265964752
0.0591939109636072,-5.21E-06,-5.21216754406042
0.0705420455481804,-3.85E-06,-3.85039139391165
0.0834237118333715,-2.66E-06,-2.66037079423209
0.0950785527580682,-1.72E-06,-1.71755550469215
0.106733393682765,-1.26E-06,-1.25541039139391
0.119308353627832,-1.07E-06,-1.07285877775235
0.130656488212406,-1.50E-06,-1.50120485236896
0.142618035477226,-2.43E-06,-2.4278873884184
0.15488628908217,-3.47E-06,-3.47375600823987
0.167154542687114,-4.71E-06,-4.70794232089723
0.179422796292058,-5.78E-06,-5.78386816205081
0.190770930876631,-6.85E-06,-6.85488670176242
0.203039184481575,-7.73E-06,-7.72715953307393
0.215000731746395,-8.19E-06,-8.18905928130007
0.226655572671092,-8.55E-06,-8.54974593728542
0.238923826276036,-8.84E-06,-8.84050354772259
0.250885373540856,-8.73E-06,-8.73131609063859
0.262846920805676,-8.50E-06,-8.49760585946441
0.274501761730373,-8.03E-06,-8.0295719844358
0.287076721675441,-7.36E-06,-7.36279240100709
0.299038268940261,-6.12E-06,-6.12308537422751
0.310693109864958,-4.54E-06,-4.53680018310826
0.322961363469902,-2.08E-06,-2.08008239871824
0.335229617074845,1.38E-06,1.37974914168002
0.346884457999542,6.14E-06,6.14332799267567
0.359152711604486,1.26E-05,12.6399816891737
0.370500846189059,2.10E-05,21.003250171664
0.38246239345388,3.10E-05,31.0264133669032
0.394730647058823,4.25E-05,42.5401693751431
0.406998900663767,5.46E-05,54.6305333028153
0.418960447928588,6.66E-05,66.5552758068208
0.430615288853284,7.69E-05,76.8544747081712
0.443496955138476,8.45E-05,84.4730601968414
0.454845089723049,8.84E-05,88.3989013504234
0.466806636987869,8.87E-05,88.7362783245594
0.479074890592813,8.58E-05,85.8164339665827
0.491036437857633,8.08E-05,80.841657129778
0.502997985122454,7.53E-05,75.2780041199359
0.51465282604715,6.96E-05,69.6100709544518
0.526614373311971,6.47E-05,64.7089036392767
0.538575920576791,6.03E-05,60.2616617074845
0.550844174181735,5.65E-05,56.4891737239643
0.562805721446555,5.32E-05,53.2258182650492
0.575073975051499,5.05E-05,50.4531929503319
0.587342228656443,4.81E-05,48.1038223849851
0.59899706958114,4.59E-05,45.8771343556878
0.61095861684596,4.41E-05,44.0798352025635
0.62292016411078,4.25E-05,42.4972304875257
0.634881711375601,4.12E-05,41.1722590981918
0.646843258640421,3.98E-05,39.8043488212406
0.658804805905241,3.86E-05,38.5959258411536
0.670766353170062,3.76E-05,37.5715266651408
0.682727900434882,3.66E-05,36.6146028839551
0.694382741359579,3.57E-05,35.7435568780041
0.706650994964523,3.50E-05,34.9829251544976
0.718612542229343,3.42E-05,34.1670862897688
0.73026738315404,3.35E-05,33.480064087892
0.742842343099107,3.28E-05,32.8237125200275
0.754497184023804,3.22E-05,32.2102998397803
0.766765437628748,3.17E-05,31.6888990615702
0.779033691233692,3.12E-05,31.2411078049897
0.790381825818265,3.09E-05,30.946669718471
0.797129365300984,2.59E-05,25.9105516136416
0.78486111169604,2.27E-05,22.7146715495537
0.77289956443122,2.12E-05,21.1688715953307
0.761244723506523,1.99E-05,19.8868390936141
0.748976469901579,1.89E-05,18.8869764248112
0.737321628976882,1.79E-05,17.9177843900206
0.725360081712062,1.72E-05,17.2062256809339
0.713091828107118,1.64E-05,16.4087891966125
0.701130280842298,1.57E-05,15.6849622339208
0.68855532089723,1.51E-05,15.0531471732662
0.677207186312657,1.46E-05,14.6176241702907
0.665245639047837,1.40E-05,13.9882627603571
0.653284091783017,1.34E-05,13.444779125658
0.64162925085832,1.29E-05,12.9264454108492
0.629360997253376,1.26E-05,12.6387548638132
0.617092743648432,1.22E-05,12.1609063859007
0.605131196383612,1.18E-05,11.7591210803387
0.593476355458915,1.12E-05,11.2272922865644
0.581208101853971,1.09E-05,10.8580178530556
0.568939848249027,1.04E-05,10.3593133440146
0.556978300984207,9.73E-06,9.73424582284275
0.545016753719387,9.02E-06,9.01532616159304
0.533055206454566,8.05E-06,8.04797436484321
0.520786952849622,6.58E-06,6.58007782101167
0.509132111924925,4.63E-06,4.63065232318608
0.497170564660105,1.84E-06,1.84023804074159
0.485515723735408,-1.94E-06,-1.94329137102312
0.472940763790341,-7.21E-06,-7.21495994506752
0.461285922865644,-1.41E-05,-14.1091050583658
0.4490176692607,-2.26E-05,-22.6471961547265
0.436749415655756,-3.29E-05,-32.9095902952621
0.42509457473106,-4.43E-05,-44.3436026550698
0.413133027466239,-5.63E-05,-56.2867475394827
0.400864773861295,-6.75E-05,-67.5244678416113
0.388903226596475,-7.71E-05,-77.12437628748
0.376941679331655,-8.38E-05,-83.7737697413596
0.365286838406958,-8.73E-05,-87.2579537651637
0.353018584802014,-8.73E-05,-87.288624399176
0.341363743877317,-8.47E-05,-84.6570840009155
0.329095490272373,-8.04E-05,-80.387731746395
0.31682723666743,-7.54E-05,-75.4374914168002
0.305172395742733,-7.06E-05,-70.560860608835
0.292597435797665,-6.62E-05,-66.1504234378576
0.280942594872969,-6.21E-05,-62.138704509041
0.269287753948272,-5.87E-05,-58.6974593728542
0.257326206683452,-5.57E-05,-55.7346761272602
0.245364659418631,-5.31E-05,-53.1338063630121
0.232789699473564,-5.09E-05,-50.9009842069123
0.221441564888991,-4.89E-05,-48.9257953765164
0.209173311284047,-4.71E-05,-47.1039597161822
0.196905057679103,-4.57E-05,-45.6501716639963
0.185250216754406,-4.42E-05,-44.2454566262303
0.172981963149462,-4.30E-05,-43.0370336461433
0.161327122224765,-4.19E-05,-41.9328908216983
0.149365574959945,-4.10E-05,-40.9514305333028
0.137097321355001,-4.00E-05,-39.9883726253147
0.125442480430304,-3.91E-05,-39.1357289997711
0.113480933165484,-3.83E-05,-38.3382925154498
0.101519385900664,-3.77E-05,-37.6512703135729
0.0892511322957198,-3.70E-05,-37.0317235065232
0.0772895850308995,-3.65E-05,-36.5041886015106
0.0653280377660792,-3.58E-05,-35.8233005264362
0.0527530778210117,-3.53E-05,-35.326436255436
0.0410982368963149,-3.49E-05,-34.9461203936828
0.0294433959716182,-3.43E-05,-34.3020370794232
0.0174818487067979,-3.38E-05,-33.8481116960403
0.00521359510185397,-3.34E-05,-33.4309910734722
-0.00644124582284275,-3.31E-05,-33.0629434653239
-0.0187094994277867,-3.27E-05,-32.713298237583
-0.0303643403524834,-3.23E-05,-32.3329823758297
-0.0426325939574273,-3.22E-05,-32.167360952163
-0.0549008475623712,-3.19E-05,-31.9097276264591
-0.0662489821469444,-3.18E-05,-31.8483863584344
-0.0785172357518883,-3.19E-05,-31.9403982604715
-0.090172076676585,-3.20E-05,-32.0446784161135
-0.102747036621653,-3.24E-05,-32.4372625314717
-0.114708583886473,-3.30E-05,-33.0016021972992
-0.126670131151293,-3.38E-05,-33.7622339208057
-0.138938384756237,-3.47E-05,-34.7130235751888
-0.150899932021057,-3.59E-05,-35.9214465552758
-0.162861479285878,-3.72E-05,-37.1789425497826
-0.174516320210574,-3.85E-05,-38.4916456855116
-0.186477867475395,-3.99E-05,-39.9147631036851
-0.198746121080339,-4.12E-05,-41.1661249713893
-0.210707668345159,-4.23E-05,-42.3132066834516
-0.223282628290227,-4.32E-05,-43.2333257038224
-0.234017350194552,-4.41E-05,-44.1350423437858
-0.246285603799496,-4.49E-05,-44.9324788281071
